col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2024-3391,11/27/24 04:23 PM,11/18/24 08:00 PM - 11/19/24 11:00 AM,Larceny,2 MetroTech,Brooklyn Commons,A student reported a larceny.,Open,2024-11-27
2024-3402,11/29/24 06:32 AM,11/29/24 06:12 AM - 11/29/24 06:18 AM,Larceny,Coral Towers exterior,Washington Square Park,A Campus Safety Officer reported a larceny.,Closed,2024-11-29
2024-3415,12/01/24 10:12 AM,12/01/24 09:30 AM - 12/01/24 09:40 AM,Criminal Trespass,715 Broadway,Washington Square,A staff member reported a criminal trespass.,Open,2024-12-01
2024-3427,12/02/24 12:00 PM,10/03/24 12:00 PM - 12/01/24 12:00 AM,Larceny,Gramercy Green,Washington Square,A student reported Larceny by Extortion.,Closed/ Referred to NYPD,2024-12-02
2024-3438,12/02/24 07:30 PM,12/02/24 07:24 PM - 12/02/24 07:30 PM,Stalking,Bobst Library - Exterior,Washington Square,A student reported Stalking.,Closed,2024-12-02
2024-3440,12/02/24 07:40 PM,12/02/24 05:30 PM - 12/02/24 06:45 PM,Larceny,404 Lafayette,Washington Square,A student reported missing property.,Closed,2024-12-02
2024-3426,12/02/24 11:50 AM,12/02/24 10:48 AM - 12/30/99 12:00 AM,Criminal Trespass,Vanderbilt Hall,Washington Square,A security guard reported a criminal trespass.,Closed,2024-12-02
2024-3449,12/03/24 11:10 PM,12/03/24 11:03 PM,Harassment,157 Bleecker Street - Exterior,Washington Square,A student reported Harassment.,Open,2024-12-03
2024-3442,12/03/24 12:40 PM,12/01/24 01:00 PM - 12/01/24 05:00 PM,Larceny,Bobst Library - Exterior,Washington Square,A student reported stolen property.,Closed,2024-12-03
2024-3444,12/03/24 01:27 PM,11/22/24 10:30 AM,Harassment,Lipton Hall,Washington Square,A staff member reported Harassment.,Closed/ Referred to Office of Student Conduct & Community Standards,2024-12-03
2024-3452,12/04/24 08:30 AM,12/03/24 07:00 PM - 12/04/24 08:20 AM,Larceny,370 Jay Street,Brooklyn Commons,A student reported missing property.,Open,2024-12-04
2024-3453,12/04/24 10:15 AM,10/11/24 - 10/14/24,Burglary,Schwartz Building,Kips Bay,A staff member reported a Burglary.,Open,2024-12-04
2024-3450,12/04/24 04:50 AM,12/04/24 04:45 AM - 12/04/24 04:54 AM,Loitering,Basic Science Building,Kips Bay,A Campus Safety Officer reported Loitering.,Closed/ Referred to NYPD,2024-12-04
2024-3451,12/04/24 09:37 AM,12/04/24 09:29 AM - 12/04/24 09:47 AM,Harassment,Pless Hall,Washington Square,A staff member reported Harassment.,Closed/ Referred to NYPD,2024-12-04
2024-3458,12/05/24 09:20 AM,12/04/24 09:20 PM - 12/05/24 09:20 AM,Larceny,Carlyle Court,Washington Square,A member reported missing property.,Open,2024-12-05
2024-3464,12/05/24 02:01 PM,12/05/24 12:00 AM,Disorderly Conduct / Harassment,Schwartz Building,Kips Bay,A staff member reported Disorderly Conduct / Harassment.,Open,2024-12-05
2024-3466,12/05/24 03:03 PM,12/04/24 - 12/05/24,Harassment,Basic Science Building,Kips Bay,A staff member reported Harassment.,Open,2024-12-05
2024-3471,12/05/24 10:58 PM,12/05/24 12:00 AM,Harassment,Weinstein Hall,Washington Square,An RA reported Harassment.,Closed,2024-12-05
2024-3481,12/06/24 06:50 PM,09/29/24,Harassment,Paulson Center,Washington Square,A student reported Harassment.,Open,2024-12-06
2024-3485,12/07/24 09:25 AM,12/07/24 09:25 AM - 12/07/24 10:00 AM,Bomb Threat / Falsely Reporting an Incident,370 Jay Street,Brooklyn Commons,A staff member reported a Bomb Threat / Falsely Reporting an Incident.,Closed/ Referred to NYPD,2024-12-07
2024-3503,12/08/24 08:05 PM,12/08/24 07:30 PM - 12/08/24 07:50 PM,Larceny,Bobst,Washington Square,A student reported a Larceny.,Closed,2024-12-08
2024-3502,12/08/24 07:55 PM,12/08/24 06:50 PM - 12/08/24 08:10 PM,Larceny,Bobst Library,Washington Square,A student reported a Larceny.,Closed/ Referred to NYPD,2024-12-08
2024-3504,12/08/24 09:30 PM,12/08/24 09:20 PM - 12/08/24,Criminal Trespass,Bobst Library,Washington Square,A staff member reported a Criminal Trespass.,Closed,2024-12-08
2024-3498,12/08/24 03:49 PM,12/08/24 03:49 PM - 12/08/24 04:05 PM,Larceny,45 West 4th Street,Washington Square,A staff member reported a Larceny.,Closed/ Referred to NYPD,2024-12-08
2024-3500,12/08/24 04:09 PM,12/08/24 03:56 PM - 12/8/24 06:25 PM,Criminal Trespass,Bobst Library,Washington Square,A staff member reported a Criminal Trespass.,Closed,2024-12-08
2024-3508,12/09/24 01:10 PM,12/09/24 11:00 AM,Criminal Trespass,Basic Science Building,Kips Bay,A staff member reported a Criminal Trespass,Open,2024-12-09
2024-3509,12/09/24 12:00 AM,12/09/24 11:20 AM - 12/09/24 12:12 PM,Harassment,Schwartz Hall,Kips Bay,A staff member reported Harassment.,Closed/ Referred to NYPD,2024-12-09
2024-3526,12/10/24 12:00 AM,12/10/24 - 12/10/24 07:27 PM,Larceny,Bobst Library,Washington Square,A student reported a Larceny.,Open,2024-12-10
2024-3520,12/10/24 10:12 AM,12/08/24 12:30 PM - 12/08/24 06:00 PM,Larceny,Founders Residence Hall,Washington Square,A student reported a Larceny.,Open,2024-12-10
2024-3536,12/11/24 03:28 PM,12/11/24 03:28 PM - 12/11/24 03:40 PM,Criminal Trespass,16 Washington Place,Washington Square,A staff member reported a Criminal Trespass.,Open,2024-12-11
2024-3534,12/11/24 12:14 PM,12/06/24 - 12/09/24,Larceny,Rogers Hall,Brooklyn Commons,A staff member reported a Larceny.,Open,2024-12-11
2024-3535,12/11/24 12:55 PM,11/07/24 - 12/10/24,Harassment,Wunsch Hall,Brooklyn Commons,A staff member reported Harassment.,Open,2024-12-11
04037-2024,12/12/24 11:56 PM,12/12/24 11:10 PM - 12/12/24 11:25 PM,Liquor Law Violation,Third North Residence Hall,Washington Square,A student reported a Liquor Law Violation. x11,Closed/ Referred to Office of Student Conduct & Community Standards,2024-12-12
2024-3561,12/12/24 06:38 PM,12/12/24 06:00 PM - 12/12/24 06:30 PM,Larceny,Washington Square Park,Washington Square,A student reported a Larceny.,Open,2024-12-12
2024-3557,12/12/24 05:17 PM,12/12/24 05:20 PM - 12/12/24 05:40 PM,Harassment,725 Broadway,Washington Square,A campus safety officer reported Harassment.,Closed/ Referred to NYPD,2024-12-12
2024-3547,12/12/24 02:33 AM,12/11/24 01:00 PM - 12/12/24 02:00 AM,Larceny,Rubin Residence Hall,Washington Square,A student reported a Larceny.,Open,2024-12-12
2024-3551,12/12/24 09:16 AM,12/12/24 09:16 AM - 12/12/24 02:07 PM,"Harassment, Criminal Trespass (x25, 8 later arrested), Disorderly Conduct (16x)",Bobst Library - Exterior,Washington Square,"A campus safety officer reported Harassment, Criminal Trespass, and Disorderly Conduct.",Closed/ Referred to NYPD,2024-12-12
2024-3554,12/12/24 02:56 PM,12/12/24 02:12 PM - 12/12/24 02:29 PM,Harassment / Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Harassment / Disorderly Conduct.,Open,2024-12-12
2024-3573,12/13/24 03:14 PM,12/13/24 01:41 PM - 12/13/24 01:42 PM,Harassment,Palladium Residence Hall,Washington Square,A student reported Harassment.,Closed,2024-12-13
04070-2024,12/13/24 03:00 PM,12/09/24 03:00 AM,Aggravated Assault,Third North Residence Hall,Washington Square,A student reported an Aggravated Assault.,Closed/ Referred to Title IX,2024-12-13
2024-3577,12/13/24 07:18 PM,12/13/24 07:11 PM,Harassment,Bobst Library,Washington Square,A student reported Harassment.,Closed,2024-12-13
2024-3569,12/13/24 08:15 AM,12/13/24 08:15 AM - 12/13/24 09:32 AM,Bomb Threat / Falsely Reporting an Incident,383 Lafayette Street,Washington Square,A staff member reported a Bomb Threat / Falsely Reporting an Incident.,Closed/ Referred to NYPD,2024-12-13
VIC2024-013,12/13/24 01:37 PM,12/06/24 03:30 AM,Criminal Impersonation (x2) and Robbery,Washington Square Park,Washington Square,NYPD reported a robbery and criminal impersonation.,Closed/ Referred to NYPD,2024-12-13
2024-3567,12/13/24 08:01 AM,12/13/24 08:00 AM - 12/13/24 08:20 AM,Criminal Mischief,Bobst Library,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2024-12-13
VIC2024-014,12/15/24 03:38 PM,12/08/24 08:38 PM,Simple Assault,Intersection of Bleeker Street and Mercer Street,Washington Square,NYPD reported a simple assault.,Closed/ Referred to NYPD,2024-12-15
2024-3586,12/16/24 10:02 AM,12/13/24 09:18 AM - 12/13/24 06:14 PM,Harassment,383 Lafayette Street,Washington Square,A staff member reported an Electronic Harassment.,Closed/ Referred to NYPD,2024-12-16
2024-3593,12/16/24 03:35 PM,12/16/24 12:00 AM - 12/16/24 08:00 AM,Larceny,Othmer Residence Hall,Brooklyn Commons,A student reported missing property.,Open,2024-12-16
2024-3595,12/16/24 07:40 PM,12/16/24 04:45 PM - 12/16/24 08:00 PM,Harassment,370 Jay Street,Brooklyn Commons,A student reported Harassment.,Closed,2024-12-16
2024-3603,12/17/24 01:35 PM,12/17/24 12:00 AM,Harassment,Fairchild Hall,Washington Square,A staff member reported Harassment.,Open,2024-12-17
2024-3609,12/17/24 09:36 PM,12/17/24 09:36 PM - 12/30/99 10:03 PM,Criminal Mischief,Lafayette Residence Hall,Washington Square,A student reported property damage.,Closed,2024-12-17
04101-2024,12/18/24 03:47 PM,12/18/24 03:30 PM,Liquor Law Violation,Coral Tower Residence Hall,Washington Square Park,A student reported a Liquor Law Violation. (x6),Closed/ Referred to Office of Student Conduct & Community Standards,2024-12-18
2024-3616,12/18/24 05:27 PM,12/18/24 04:40 PM - 12/18/24 05:10 PM,Larceny,6 MetroTech Center,Brooklyn Commons,A student reported missing property.,Open,2024-12-18
2024-3614,12/18/24 04:30 PM,12/18/24 02:30 PM - 12/18/24 04:30 PM,Harassment,Meyer Building,Washington Square,A student reported Harassment.,Open,2024-12-18
2024-3612,12/18/24 03:00 PM,12/09/24 10:20 AM - 12/09/24 10:21 AM,Larceny,Silver Building,Washington Square,A student reported missing property.,Open,2024-12-18
2024-3610,12/18/24 12:10 AM,12/18/24 12:10 AM - 12/18/24 01:50 AM,Bomb Threat/ Falsely Reporting an Incident,Bobst Library,Washington Square,An NYU-affiliate reported a Bomb Threat/ Falsely Reporting an Incident.,Open,2024-12-18
2024-3613,12/18/24 03:03 PM,12/18/24 03:02 PM - 12/18/24 03:15 PM,Aggravated Assault,2 Washington Village - Exterior,Washington Square,A Campus Safety Officer reported reckless driving and a hit-and-run.,Closed/ Referred to NYPD,2024-12-18
04120-2024,12/19/24 09:24 PM,12/18/24 09:24 PM,Criminal Mischief,Brittany Hall,Washington Square,A student reported Criminal Mischief.,Closed/ Referred to Office of Student Conduct & Community Standards,2024-12-19
2024-3621,12/19/24 02:50 AM,12/18/24 05:00 PM - 12/19/24 02:30 AM,Larceny,6 MetroTech Center,Brooklyn Commons,A student reported missing property.,Closed,2024-12-19
2024-3628,12/19/24 08:47 PM,12/09/24 12:00 PM - 12/19/24 08:35 PM,Larceny,Weinstein Hall,Washington Square,A student reported missing property.,Closed,2024-12-19
04116-2024,12/19/24 04:44 PM,12/19/24 04:30 PM,Liquor Law Violation,Palladium Residence Hall,Washington Square,An RA reported a Liquor Law Violation. (x3),Closed/ Referred to Office of Student Conduct & Community Standards,2024-12-19
04117-2024,12/19/24 04:48 PM,12/19/24 04:30 PM,Liquor Law Violation,Palladium Residence Hall,Washington Square,An RA reported a Liquor Law Violation. (x2),Closed/ Referred to Office of Student Conduct & Community Standards,2024-12-19
2024-3629,12/20/24 01:29 AM,12/20/24 01:29 AM - 12/20/24 01:59 AM,Simple Assault,Schwartz Plaza,Washington Square,A Campus Safety Officer reported a Simple Assault.,Closed/ Referred to NYPD,2024-12-20
2024-3634,12/20/24 10:00 AM,12/20/24 09:00 AM - 12/20/24 09:45 AM,Larceny,Palladium Residence Hall,Washington Square,An individual reported a Larceny.,Closed/ Referred to NYPD,2024-12-20
2024-3635,12/20/24 12:19 AM,12/09/24 12:20 PM - 12/09/24,Harassment,Skirball Theater,Washington Square,A staff member reported Harassment.,Open,2024-12-20
2024-3638,12/20/24 09:22 PM,12/20/24 08:11 PM - 12/20/24,Larceny,Broadway & West 3rd Street,Washington Square,A student reported a Larceny.,Closed/ Referred to NYPD,2024-12-20
04146-2024,12/21/24 10:10 PM,12/24/24 09:36 PM,Criminal Mischief,University Hall,Washington Square,A student reported Criminal Mischief.,Closed/ Referred to Office of Student Conduct & Community Standards,2024-12-21
2024-3639,12/21/24 12:08 PM,12/21/24 12:00 PM - 12/21/24,Harassment,Washington Square Park,Washington Square,A student reported Harassment.,Closed,2024-12-21
2024-3641,12/21/24 10:09 PM,12/21/24 10:15 PM - 12/21/24 10:17 PM,Falsely Reporting an Incident,Broome Street Residence,Washington Square,An individual Falsely Reported an Incident.,Closed/ Referred to NYPD,2024-12-21
2024-3645,12/24/24 10:20 AM,12/21/24 05:00 PM - 12/22/24 11:00 AM,Larceny,University Hall,Washington Square,A staff member reported a Larceny.,Closed,2024-12-24
2024-3650,12/26/24 02:38 PM,11/12/24 12:00 AM,Harassment,Palladium Residence Hall,Washington Square,A student reported Harassment.,Open,2024-12-26
2024-3651,12/26/24 03:06 PM,12/26/24 02:50 PM - 12/26/24 02:55 PM,Criminal Mischief,Schwartz Hall,Kips Bay,A security officer reported Criminal Mischief.,Closed/ Referred to NYPD,2024-12-26
2024-3652,12/26/24 05:35 PM,12/18/24 10:00 AM - 12/18/24 11:50 AM,Larceny,Warren Weaver Hall,Washington Square,A student reported a Larceny.,Closed,2024-12-26
2024-3653,12/26/24 08:49 PM,12/26/24 11:30 AM - 12/26/24 08:48 PM,Larceny,Gramercy Green Residence Hall,Washington Square,A student reported a Larceny.,Open,2024-12-26
2024-3655,12/27/24 02:41 PM,12/27/24 02:30 PM - 12/27/24 02:40 PM,Robbery,721 Broadway - Exterior,Washington Square,A student reported a Robbery.,Closed,2024-12-27
2025-0007,1/2/2025 6:48 pm,1/2/2025 6:40 PM - 1/2/2025 7:08 PM,Loitering,370 Jay Street,Brooklyn Commons,A Campus Safety Officer reported Loitering.,Closed,2025-01-02
2025-0016,1/3/2025 3:46 pm,1/3/2025 3:36 PM - 1/3/2025 3:43 PM,Criminal Trespass,Shimkin Hall,Washington Square,A Campus Safety Officer reported Criminal Trespass.,Closed,2025-01-03
2025-0013,1/3/2025 2:19 pm,12/19/2024 10:00 AM - 12/22/2024 9:24 AM,Larceny,Kimmel Center - Exterior,Washington Square,A student reported stolen property.,Closed,2025-01-03
2025-0023,1/6/2025 9:26 AM,1/6/2025 9:35 AM - 1/6/2025 11:25 AM,Bomb Threat / Falsely Reporting an Incident,400 Lafayette Street,Washington Square,A staff member reported a Bomb Threat / Falsely Reporting an Incident.,Closed / Referred to NYPD,2025-01-06
2025-0036,1/9/2025 12:02 PM,1/9/2025 11:57 AM,Harassment,NYU Bookstore - Exterior,Washington Square,A staff member reported Harassment.,Open,2025-01-09
2025-0041,1/9/2025 8:25 PM,1/9/2025 8:25 PM,Criminal Mischief,Paulson Center,Washington Square,A student reported destruction of property.,Closed,2025-01-09
2025-0044,01-10-2025 4:06pm,01-08-2025 4:30pm - 01-09-2025 7:00pm,Larceny,Palladium Hall,Washington Square,A student reported items taken from the laundry room.,Closed,2025-01-10
2025-0046,01-10-2025 5:05 pm,01-10-2025 12:40 pm - 01-10-2025 3:40 pm,Larceny,Bobst Library,Washington Square,A student reported a theft.,Open,2025-01-10
2025-0048,01-10-2025 11:06 pm,10-09-2024,Fondling,380 2nd Avenue,Kips Bay,A student reported fondling (x2).,Open,2025-01-10
00032-2025,01-10-2025 2:38 pm,01-09-2025 8:25 pm,Criminal Mischief,Paulson Center,Washington Square,A student reported vandalism.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-01-10
2025-0052,01-11-2025 7:30 pm,01-11-2025 2:45 pm,Robbery,20 Astor Place (exterior),Washington Square,A student reported a robbery.,Closed/ Referred to NYPD,2025-01-11
2025-0049,01-11-2025 4:01 am,01-11-2025 3:55 am,Criminal Mischief,Meyer Hall exterior,Washington Square,A Campus Safety Officer witnessed vandalism.,Closed,2025-01-11
2025-0051,01-11-2025 8:40 am,01-11-2025 8:10 am,Criminal Mischief,721 Broadway exterior,Washington Square,A Campus Safety Officer reported vandalism.,Closed/ Referred to NYPD,2025-01-11
2025-0063,1/13/2025 3:54 PM,1/13/2025 2:45 PM,Traffic Law Violation,2 Washington Square Village (exterior),Washington Square,A staff member reported a hit and run accident.,Closed,2025-01-13
2025-0062,1/13/2025 3:18 PM,1/13/2025 2:35 PM,Larceny,Palladium Hall,Washington Square,A student reported lost money.,Closed,2025-01-13
IRVS 2025-001,1/14/2025 3:54 PM,1/11/2025 3:12 AM,Criminal Mischief,Bronfman Center (exterior),Washington Square,NYPD reported a damaged car.,Closed/ Referred to NYPD,2025-01-14
00049-2025,1/14/2025 12:44 PM,1/1/2025 - 1/3/2025,Stalking,Silver Center,Washington Square,A student reported stalking.,Closed/ Referred to Title IX,2025-01-14
2025-0071,1/14/2025 3:25 PM,1/14/2025 3:25 PM - 1/14/2025 3:40 PM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported disorderly conduct.,Open,2025-01-14
2025-0083,1/15/2025 3:30 PM,1/15/2025 3:29 PM,Harassment,"721 Broadway, exterior on Waverly Place",Washington Square,A faculty member reported harassment.,Open,2025-01-15
2025-0081,1/15/2025 3:07 PM,1/15/2025 2:15 PM,Harassment,Sullivan Street at West 3rd Street,Washington Square,A faculty member reported Harassment.,Open,2025-01-15
2025-0082,1/15/2025 3:10 PM,1/15/2025 2:10 PM,Fondling / Harassment,Washington Square Park,Washington Square,Two students reported Fondling / Harassment.,Open,2025-01-15
2025-0078,1/15/2025 12:10 PM,1/15/2025 12:06 PM,Fondling,Washington Square Park,Washington Square,A student reported a Fondling.,Closed/ Referred to NYPD,2025-01-15
2025-0080,1/15/2025 1:58 PM,1/15/2025 1:56 PM,Criminal Mischief,Carlyle Court - Exterior,Washington Square,A staff member reported Criminal Mischief.,Closed/ Referred to NYPD,2025-01-15
